InputSentence,Method,Probabilities,ChosenSource
"['méd', 'invest', 'educ', 'cidad']",LDA4,"{'classCadunico.csv': [0.024, 0.00524992346763611, 0.01945076233148575, 0.005006338357925415], 'classCensoEscolar.csv': [0.007881739228963852, 1e-06, 0.025, 0.0084676131606102], 'classDataSUS.csv': [0.017501325845718382, 0.020020990848541257, 0.0062473857402801525, 0.01675404417514801], 'classIbama.csv': [1e-06, 0.0049289283752441395, 1e-06, 0.010361032485961914], 'classProuni.csv': [0.012530784130096437, 0.011187553882598877, 0.007227769136428833, 0.013266832351684571], 'classFies.csv': [1e-06, 0.007012922763824462, 0.02, 0.01927934229373932], 'classIBGE.csv': [0.007042203903198242, 0.019081104278564454, 0.038, 0.019789865255355837], 'classEducacaoSuperior.csv': [1e-06, 0.00971009373664856, 0.012639164566993712, 0.0022862711548805236]}",classIBGE.csv
"['méd', 'invest', 'educ', 'cidad']",LDA+Cosine,"{'classCadunico.csv': [0.024, 0.00524992346763611, 0.01945076233148575, 0.005006338357925415, 0.01862097306809647], 'classCensoEscolar.csv': [0.007881739228963852, 1e-06, 0.025, 0.0084676131606102, 0.0979811894172745], 'classDataSUS.csv': [0.017501325845718382, 0.020020990848541257, 0.0062473857402801525, 0.01675404417514801, 0.02214037213850238], 'classIbama.csv': [1e-06, 0.0049289283752441395, 1e-06, 0.010361032485961914, 0.0], 'classProuni.csv': [0.012530784130096437, 0.011187553882598877, 0.007227769136428833, 0.013266832351684571, 0.026425821129084495], 'classFies.csv': [1e-06, 0.007012922763824462, 0.02, 0.01927934229373932, 0.045454545454545456], 'classIBGE.csv': [0.007042203903198242, 0.019081104278564454, 0.038, 0.019789865255355837, 0.058025885318565944], 'classEducacaoSuperior.csv': [1e-06, 0.00971009373664856, 0.012639164566993712, 0.0022862711548805236, 0.010635890745287925]}",classIBGE.csv
"['famíl', 'cigan', 'exist', 'cadun', 'est']",Cosine,"{'classCadunico.csv': 0.1832061509848087, 'classCensoEscolar.csv': 0.025039154291806722, 'classDataSUS.csv': 0.05940885257860046, 'classIbama.csv': 0.0, 'classProuni.csv': 0.0, 'classFies.csv': 0.040655781409087086, 'classIBGE.csv': 0.05189992961076819, 'classEducacaoSuperior.csv': 0.019026059766179763}",classCadunico.csv
"['famíl', 'cigan', 'exist', 'cadun', 'est']",LDA4,"{'classCadunico.csv': [0.099, 1e-06, 1e-06, 1e-06, 0.017019789040088655], 'classCensoEscolar.csv': [0.031829700469970704, 1e-06, 0.01563708758354187, 1e-06, 0.0027713757753372197], 'classDataSUS.csv': [0.01595569229125977, 1e-06, 1e-06, 1e-06, 0.036000000000000004], 'classIbama.csv': [1e-06, 1e-06, 1e-06, 1e-06, 1e-06], 'classProuni.csv': [0.005358276098966597, 1e-06, 1e-06, 1e-06, 1e-06], 'classFies.csv': [0.014920172095298766, 1e-06, 1e-06, 1e-06, 0.032], 'classIBGE.csv': [1e-06, 1e-06, 1e-06, 1e-06, 0.005201447963714599], 'classEducacaoSuperior.csv': [1e-06, 1e-06, 1e-06, 1e-06, 0.0109817533493042]}",classCadunico.csv
"['famíl', 'cigan', 'exist', 'cadun', 'est']",LDA+Cosine,"{'classCadunico.csv': [0.099, 1e-06, 1e-06, 1e-06, 0.017019789040088655, 0.1832061509848087], 'classCensoEscolar.csv': [0.031829700469970704, 1e-06, 0.01563708758354187, 1e-06, 0.0027713757753372197, 0.025039154291806722], 'classDataSUS.csv': [0.01595569229125977, 1e-06, 1e-06, 1e-06, 0.036000000000000004, 0.05940885257860046], 'classIbama.csv': [1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.0], 'classProuni.csv': [0.005358276098966597, 1e-06, 1e-06, 1e-06, 1e-06, 0.0], 'classFies.csv': [0.014920172095298766, 1e-06, 1e-06, 1e-06, 0.032, 0.040655781409087086], 'classIBGE.csv': [1e-06, 1e-06, 1e-06, 1e-06, 0.005201447963714599, 0.05189992961076819], 'classEducacaoSuperior.csv': [1e-06, 1e-06, 1e-06, 1e-06, 0.0109817533493042, 0.019026059766179763]}",classCadunico.csv
"['pe', 'cigan', 'cadun', 'frequent', 'cur', 'sup', 'brasil']",Cosine,"{'classCadunico.csv': 0.36597944617530886, 'classCensoEscolar.csv': 0.010580973892262122, 'classDataSUS.csv': 0.0, 'classIbama.csv': 0.015915175351980757, 'classProuni.csv': 0.0, 'classFies.csv': 0.017180203318601237, 'classIBGE.csv': 0.021931723165325632, 'classEducacaoSuperior.csv': 0.008039977681052935}",classCadunico.csv
"['pe', 'cigan', 'cadun', 'frequent', 'cur', 'sup', 'brasil']",LDA4,"{'classCadunico.csv': [0.17600000000000002, 1e-06, 1e-06, 1e-06, 0.04199999749660492, 1e-06, 1e-06], 'classCensoEscolar.csv': [0.016565737128257752, 1e-06, 1e-06, 1e-06, 0.0379999977350235, 0.03699999779462814, 0.010434576272964478], 'classDataSUS.csv': [0.00482886016368866, 1e-06, 1e-06, 1e-06, 0.036000000000000004, 1e-06, 0.021990294456481933], 'classIbama.csv': [0.0037155921459198, 1e-06, 1e-06, 1e-06, 0.04, 0.012348640739917757, 0.003988169670104982], 'classProuni.csv': [0.0063576014637947076, 1e-06, 1e-06, 1e-06, 0.006067940711975097, 0.010999999344348909, 0.0114955974817276], 'classFies.csv': [1e-06, 1e-06, 1e-06, 1e-06, 0.027999999999999997, 0.07699999541044235, 0.018445284724235532], 'classIBGE.csv': [0.00682401216030121, 1e-06, 1e-06, 1e-06, 0.006905893206596374, 0.011021031975746156, 0.038], 'classEducacaoSuperior.csv': [0.018268721550703047, 1e-06, 1e-06, 1e-06, 0.07399999558925628, 0.047999997138977055, 0.013170444130897524]}",classCadunico.csv
"['pe', 'cigan', 'cadun', 'frequent', 'cur', 'sup', 'brasil']",LDA+Cosine,"{'classCadunico.csv': [0.17600000000000002, 1e-06, 1e-06, 1e-06, 0.04199999749660492, 1e-06, 1e-06, 0.36597944617530886], 'classCensoEscolar.csv': [0.016565737128257752, 1e-06, 1e-06, 1e-06, 0.0379999977350235, 0.03699999779462814, 0.010434576272964478, 0.010580973892262122], 'classDataSUS.csv': [0.00482886016368866, 1e-06, 1e-06, 1e-06, 0.036000000000000004, 1e-06, 0.021990294456481933, 0.0], 'classIbama.csv': [0.0037155921459198, 1e-06, 1e-06, 1e-06, 0.04, 0.012348640739917757, 0.003988169670104982, 0.015915175351980757], 'classProuni.csv': [0.0063576014637947076, 1e-06, 1e-06, 1e-06, 0.006067940711975097, 0.010999999344348909, 0.0114955974817276, 0.0], 'classFies.csv': [1e-06, 1e-06, 1e-06, 1e-06, 0.027999999999999997, 0.07699999541044235, 0.018445284724235532, 0.017180203318601237], 'classIBGE.csv': [0.00682401216030121, 1e-06, 1e-06, 1e-06, 0.006905893206596374, 0.011021031975746156, 0.038, 0.021931723165325632], 'classEducacaoSuperior.csv': [0.018268721550703047, 1e-06, 1e-06, 1e-06, 0.07399999558925628, 0.047999997138977055, 0.013170444130897524, 0.008039977681052935]}",classCadunico.csv
"['famíl', 'cigan', 'receb', 'rend', 'mai', '1000', 'real']",Cosine,"{'classCadunico.csv': 0.23929425326847117, 'classCensoEscolar.csv': 0.0, 'classDataSUS.csv': 0.0, 'classIbama.csv': 0.0, 'classProuni.csv': 0.019976043113781046, 'classFies.csv': 0.0, 'classIBGE.csv': 0.0657951694959769, 'classEducacaoSuperior.csv': 0.0}",classCadunico.csv
"['famíl', 'cigan', 'receb', 'rend', 'mai', '1000', 'real']",LDA4,"{'classCadunico.csv': [0.099, 1e-06, 0.005959426760673523, 0.021, 1e-06, 1e-06, 0.020962898433208463], 'classCensoEscolar.csv': [0.031829700469970704, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.009585110306739808], 'classDataSUS.csv': [0.01595569229125977, 1e-06, 1e-06, 1e-06, 0.01095459020137787, 1e-06, 0.02146156024932861], 'classIbama.csv': [1e-06, 1e-06, 1e-06, 0.012039382338523865, 0.005151649475097656, 1e-06, 0.02099999874830246], 'classProuni.csv': [0.005358276098966597, 1e-06, 1e-06, 0.010474573016166687, 0.012036756992340088, 1e-06, 0.005245875537395478], 'classFies.csv': [0.014920172095298766, 1e-06, 1e-06, 0.00500953233242035, 1e-06, 1e-06, 0.005864721655845642], 'classIBGE.csv': [1e-06, 1e-06, 1e-06, 0.020564541578292846, 0.014000001668930052, 1e-06, 0.01776849490404129], 'classEducacaoSuperior.csv': [1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.032]}",classCadunico.csv
"['famíl', 'cigan', 'receb', 'rend', 'mai', '1000', 'real']",LDA+Cosine,"{'classCadunico.csv': [0.099, 1e-06, 0.005959426760673523, 0.021, 1e-06, 1e-06, 0.020962898433208463, 0.23929425326847117], 'classCensoEscolar.csv': [0.031829700469970704, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.009585110306739808, 0.0], 'classDataSUS.csv': [0.01595569229125977, 1e-06, 1e-06, 1e-06, 0.01095459020137787, 1e-06, 0.02146156024932861, 0.0], 'classIbama.csv': [1e-06, 1e-06, 1e-06, 0.012039382338523865, 0.005151649475097656, 1e-06, 0.02099999874830246, 0.0], 'classProuni.csv': [0.005358276098966597, 1e-06, 1e-06, 0.010474573016166687, 0.012036756992340088, 1e-06, 0.005245875537395478, 0.019976043113781046], 'classFies.csv': [0.014920172095298766, 1e-06, 1e-06, 0.00500953233242035, 1e-06, 1e-06, 0.005864721655845642, 0.0], 'classIBGE.csv': [1e-06, 1e-06, 1e-06, 0.020564541578292846, 0.014000001668930052, 1e-06, 0.01776849490404129, 0.0657951694959769], 'classEducacaoSuperior.csv': [1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.032, 0.0]}",classCadunico.csv
"['benefic', 'fie', 'cur']",Cosine,"{'classCadunico.csv': 0.0645049428806296, 'classCensoEscolar.csv': 0.0, 'classDataSUS.csv': 0.0, 'classIbama.csv': 0.0, 'classProuni.csv': 0.0, 'classFies.csv': 0.1574591643244434, 'classIBGE.csv': 0.0, 'classEducacaoSuperior.csv': 0.012281268769726867}",classFies.csv
"['benefic', 'fie', 'cur']",LDA4,"{'classCadunico.csv': [1e-06, 0.004580913782119751, 0.04199999749660492], 'classCensoEscolar.csv': [1e-06, 0.024, 0.0379999977350235], 'classDataSUS.csv': [0.01780364191532135, 0.036000000000000004, 0.036000000000000004], 'classIbama.csv': [1e-06, 0.026000000000000002, 0.04], 'classProuni.csv': [0.035000004172325135, 0.038, 0.006067940711975097], 'classFies.csv': [1e-06, 0.081, 0.027999999999999997], 'classIBGE.csv': [1e-06, 0.022000000000000002, 0.006905893206596374], 'classEducacaoSuperior.csv': [1e-06, 0.032, 0.07399999558925628]}",classFies.csv
