TopicWords,Scores
instituição  ensino  superior  formação  reserva  remuneração  aquisição  outro  fies  vagas,"['0.026', '0.022', '0.021', '0.020', '0.020', '0.020', '0.020', '0.020', '0.020', '0.020']"
instituição  curso  ensino  aluno  superior  oferta  local  identificação  docente  vagas,"['0.005', '0.005', '0.005', '0.005', '0.005', '0.005', '0.005', '0.005', '0.005', '0.005']"
curso  instituição  presencial  acesso  nível  oferta  graduação  acadêmico  superior  distância,"['0.058', '0.028', '0.023', '0.021', '0.021', '0.020', '0.016', '0.015', '0.011', '0.011']"
curso  aluno  nascimento  ensino  vagas  superior  deficiência  naturalização  docente  país,"['0.074', '0.043', '0.038', '0.037', '0.022', '0.021', '0.021', '0.021', '0.021', '0.021']"
superior  ensino  realização  instituição  categoria  cursos  privada  pública  identificação  administrativa,"['0.048', '0.048', '0.032', '0.032', '0.032', '0.032', '0.032', '0.032', '0.032', '0.032']"
instituição  ensino  administrativos  técnico  funcionários  superior  administrativa  unidade  município  categoria,"['0.058', '0.046', '0.037', '0.037', '0.037', '0.022', '0.020', '0.020', '0.020', '0.020']"
instituição  docente  ensino  aluno  universitário  superior  pesquisa  local  identificação  acadêmica,"['0.043', '0.034', '0.028', '0.025', '0.023', '0.022', '0.021', '0.021', '0.020', '0.020']"
curso  oferta  local  ingresso  aluno  vagas  data  universidade  deficiência  curriculares,"['0.067', '0.035', '0.031', '0.024', '0.020', '0.016', '0.015', '0.013', '0.013', '0.013']"
