TopicWords,Scores
fies  estudante  financiamento  superior  contrato  ensino  mantenedora  percentual  estudantil  valor,"['0.012', '0.011', '0.011', '0.011', '0.011', '0.011', '0.011', '0.011', '0.011', '0.011']"
financiamento  federal  sistema  banco  contrato  semestre  econômica  pagamento  financeiro  estudantil,"['0.068', '0.037', '0.037', '0.036', '0.036', '0.036', '0.036', '0.035', '0.035', '0.035']"
estudante  especiais  civil  necessidades  escola  pública  informatizado  inscrição  cursou  estado,"['0.111', '0.032', '0.031', '0.031', '0.030', '0.030', '0.029', '0.028', '0.028', '0.028']"
financiamento  fies  campus  financeiro  estudante  agente  contrato  junto  valor  fundo,"['0.067', '0.059', '0.037', '0.036', '0.036', '0.036', '0.035', '0.035', '0.035', '0.035']"
fies  estudante  financiamento  contrato  ensino  superior  processos  estudantil  sistema  informatizado,"['0.012', '0.012', '0.011', '0.011', '0.011', '0.011', '0.011', '0.011', '0.011', '0.011']"
estudante  residência  ensino  sistema  aluno  raça  município  médio  estado  informatizado,"['0.092', '0.035', '0.033', '0.033', '0.032', '0.032', '0.032', '0.032', '0.032', '0.032']"
financiamento  fies  percentual  estudantil  fundo  valor  estudante  educação  referentes  avaliação,"['0.081', '0.049', '0.042', '0.026', '0.024', '0.024', '0.023', '0.020', '0.020', '0.020']"
superior  instituição  ensino  nome  processos  município  seletivos  mantenedora  fies  sisfies,"['0.077', '0.058', '0.058', '0.040', '0.040', '0.040', '0.040', '0.040', '0.040', '0.024']"
