TopicWords,Scores
pessoa  valor  famílias  recebido  meses  frequenta  domicílio  família  único  cadastro,"['0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010']"
pessoa  recebido  famílias  valor  frequenta  família  domicílio  meses  cadastro  único,"['0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010']"
valor  meses  recebido  seguro  trabalhados  último  desemprego  últimos  remuneração  bruta,"['0.126', '0.096', '0.096', '0.034', '0.034', '0.034', '0.034', '0.034', '0.034', '0.034']"
recebido  calculado  peso  pessoa  família  valor  pensão  base  alimentícia  único,"['0.043', '0.042', '0.038', '0.036', '0.034', '0.030', '0.027', '0.026', '0.026', '0.025']"
pessoa  trabalhou  trabalho  frequentado  afastada  remuneração  último  curso  remunerado  concluiu,"['0.093', '0.031', '0.030', '0.028', '0.027', '0.027', '0.027', '0.027', '0.027', '0.027']"
famílias  único  cadastro  pessoas  amostragem  ibge  componentes  incluídas  renda  baixa,"['0.078', '0.059', '0.059', '0.040', '0.040', '0.021', '0.021', '0.021', '0.021', '0.021']"
pessoa  frequenta  curso  nascimento  data  escola  município  série  base  relaçao,"['0.176', '0.049', '0.042', '0.033', '0.033', '0.033', '0.033', '0.026', '0.018', '0.018']"
família  domicílio  valor  pessoa  peso  calculado  recebido  famílias  local  média,"['0.099', '0.067', '0.036', '0.034', '0.033', '0.032', '0.031', '0.024', '0.024', '0.024']"
