basic word,probability,word form Word2Vec
pessoa,0.01,pessoa
pessoa,0.006370145082473755,alguém
pessoa,0.006145422458648682,mulher
pessoa,0.005613989233970642,outra
pessoa,0.005566443204879761,criança
pessoa,0.005562456250190735,coisa
pessoa,0.005508853197097778,entidade
pessoa,0.00547836184501648,quem
pessoa,0.005442421436309815,criatura
pessoa,0.005441864132881165,indivíduo
pessoa,0.005392189025878906,personalidade
pessoa,0.005355666875839234,ela
pessoa,0.005308439135551453,aquela
pessoa,0.005198124051094055,condição
pessoa,0.005164401531219482,gente
pessoa,0.00516150176525116,determinada
pessoa,0.00513384222984314,você
pessoa,0.005118461847305298,idosa
pessoa,0.005117353200912476,moça
pessoa,0.005056792497634888,garota
pessoa,0.005015906691551208,pessoas
pessoa,0.004980030655860901,Pessoa
pessoa,0.004898388683795929,amada
pessoa,0.004896398782730103,jurídica
pessoa,0.0048038154840469366,menina
pessoa,0.004788959324359894,humana
pessoa,0.004788230657577515,única
pessoa,0.004775355160236359,amiga
pessoa,0.004734644293785096,uma
pessoa,0.00473306804895401,física
pessoa,0.0047211796045303345,daquela
pessoa,0.004700678884983063,vítima
pessoa,0.004695858955383301,cada
pessoa,0.004656111001968384,senhora
pessoa,0.004650605618953705,maneira
pessoa,0.0045979669690132145,qualquer
pessoa,0.004580913782119751,filha
pessoa,0.004569680094718933,mãe
pessoa,0.004564376473426819,mesma
pessoa,0.004552970826625824,rapariga
pessoa,0.0045504230260849,terceira
pessoa,0.0045344167947769165,homem
pessoa,0.004530969262123108,vida
pessoa,0.004515884220600128,alma
valor,0.01,valor
valor,0.0064183855056762695,montante
valor,0.0063401472568511965,preço
valor,0.00628185510635376,custo
valor,0.006217796206474304,Valor
valor,0.005953587293624878,percentual
valor,0.0056779909133911136,acréscimo
valor,0.005641992092132568,ganho
valor,0.0054897195100784306,pago
valor,0.005397865176200867,significativo
valor,0.005353617668151856,cobrado
valor,0.005336523652076721,valores
valor,0.005313924551010132,benefício
valor,0.005297242403030395,agregado
valor,0.005289294719696045,salário
valor,0.005257115364074707,rendimento
valor,0.005250353217124939,limite
valor,0.005249923467636109,investimento
valor,0.005234443545341492,incremento
valor,0.005212842226028442,saldo
valor,0.005149847269058228,parâmetro
valor,0.00510484516620636,gasto
valor,0.0050677967071533206,atributo
valor,0.00505854606628418,lucro
valor,0.005052109956741333,aproximado
valor,0.0050489062070846556,pagamento
valor,0.005047030448913574,correspondente
valor,0.005038691759109497,elevado
valor,0.005026067495346069,relativo
valor,0.005021994113922119,mínimo
valor,0.0050101721286773685,impacto
valor,0.004993008077144623,calculado
valor,0.004977629482746124,equivalente
valor,0.00495204895734787,índice
valor,0.004947020411491394,simbólico
valor,0.0049470156431198125,número
valor,0.004945643544197083,cálculo
valor,0.004943206310272217,investido
valor,0.00492240846157074,potencial
valor,0.004915584325790406,coeficiente
valor,0.004904166162014008,dobro
valor,0.004894345700740814,quantia
valor,0.0048939049243927005,vencimento
valor,0.004889623522758484,faturamento
valor,0.004886464774608613,máximo
valor,0.004859526157379151,significado
valor,0.0048262888193130495,desconto
valor,0.004810929298400879,soma
valor,0.0048060184717178345,valioso
valor,0.004785934984683991,aumento
famílias,0.01,famílias
famílias,0.007268458604812622,Famílias
famílias,0.006866005063056946,crianças
famílias,0.006698479652404785,comunidades
famílias,0.006584532260894775,pessoas
famílias,0.006299138069152832,familiares
famílias,0.006186493635177612,mães
famílias,0.006059659719467163,populações
famílias,0.006032105684280396,casas
famílias,0.006032047271728516,filhas
famílias,0.005949959754943848,família
famílias,0.005728909373283387,jovens
famílias,0.005723412036895752,residências
famílias,0.005681689977645874,adolescentes
famílias,0.00559069275856018,mulheres
famílias,0.005530979633331299,agricultores
famílias,0.005515612959861756,casais
famílias,0.005513425469398499,escolas
famílias,0.005481867790222168,instituições
famílias,0.005425131916999817,moradores
famílias,0.005393342971801758,irmãs
famílias,0.005387855768203735,vítimas
famílias,0.005351134538650513,gerações
famílias,0.005273569822311402,esposas
famílias,0.005248926281929016,empresas
famílias,0.005247112512588501,idosos
famílias,0.005184217691421509,filhos
famílias,0.005166561603546143,vizinhas
famílias,0.005149983167648316,nações
famílias,0.005132108330726624,vilas
famílias,0.005126121044158936,lideranças
famílias,0.005111359357833863,meninas
famílias,0.005062745213508606,carentes
famílias,0.005053483247756958,lares
famílias,0.005031516551971435,associações
famílias,0.005028954148292542,moram
famílias,0.005028924345970154,numerosas
famílias,0.00502449095249176,terras
famílias,0.005022764205932617,amigas
famílias,0.005020403861999512,aldeias
famílias,0.005007693767547608,moças
famílias,0.005006338357925415,cidades
famílias,0.005004482269287109,parentes
famílias,0.004972926378250122,sociedades
famílias,0.0049691259860992435,idades
famílias,0.004961609244346619,igrejas
famílias,0.004950658082962036,pobres
famílias,0.0049265211820602416,pais
famílias,0.00490518718957901,residentes
famílias,0.004893896281719208,indivíduos
recebido,0.01,recebido
recebido,0.007006118893623352,recebeu
recebido,0.006971211433410645,recebida
recebido,0.006743511557579041,recebidos
recebido,0.006611539125442505,enviado
recebido,0.00630002498626709,recebendo
recebido,0.006296229958534241,receber
recebido,0.0061568844318389895,recebi
recebido,0.006145329475402832,recebe
recebido,0.006085789799690247,recebia
recebido,0.006012158393859863,recebemos
recebido,0.005959426760673523,receberam
recebido,0.005900617837905884,recebidas
recebido,0.005823777914047241,solicitado
recebido,0.005775604248046875,trazido
recebido,0.005737818479537964,tido
recebido,0.005730661749839783,oferecido
recebido,0.005709858536720276,rejeitado
recebido,0.005691623687744141,recebo
recebido,0.0056657612323760985,dado
recebido,0.0056600475311279295,concedido
recebido,0.005611472129821778,entregue
recebido,0.005610814094543457,feito
recebido,0.005592985153198242,obtido
recebido,0.005575166344642639,efetuado
recebido,0.005516392588615418,comprado
recebido,0.005475926399230957,adquirido
recebido,0.005460910797119141,trocado
recebido,0.005460411310195923,receberá
recebido,0.005402876138687134,sido
recebido,0.00536746621131897,aceito
recebido,0.005338972806930542,apresentado
recebido,0.005287927389144897,declarado
recebido,0.005278052091598511,negado
recebido,0.0052705156803131105,gerado
recebido,0.005248039960861206,prometido
recebido,0.005247920751571655,recebem
recebido,0.005229226946830749,reconhecido
recebido,0.005222340822219848,encaminhado
recebido,0.005215591192245484,visto
recebido,0.005213857293128967,lido
recebido,0.005209211707115174,havido
recebido,0.0051934319734573365,Recebeu
recebido,0.005171627998352051,atendido
recebido,0.005158061981201172,pago
recebido,0.005138741731643677,confirmado
recebido,0.005135977268218995,deixado
recebido,0.005132125616073608,atribuído
recebido,0.005118950605392456,acompanhado
recebido,0.005097315907478333,percebido
meses,0.01,meses
meses,0.0078040194511413575,dias
meses,0.007459712028503418,semanas
meses,0.007446457147598267,anos
meses,0.006514871120452881,seis
meses,0.006336307525634766,Meses
meses,0.006274018287658691,mês
meses,0.005906286239624024,últimos
meses,0.005901382565498352,oito
meses,0.005836246013641358,quinze
meses,0.005828289389610291,cinco
meses,0.0058103203773498535,consecutivos
meses,0.005705325603485107,depois
meses,0.005698496103286744,nove
meses,0.005557241439819336,quatro
meses,0.005528436899185181,períodos
meses,0.005527346730232239,doze
meses,0.005480223894119263,após
meses,0.005462195873260498,dez
meses,0.005450283288955689,longos
meses,0.0054494100809097295,primeiros
meses,0.005404925346374512,passados
meses,0.005404573678970337,sete
meses,0.005355463027954101,ano
meses,0.005338385701179504,três
meses,0.005301579236984253,período
meses,0.005282585620880127,vinte
meses,0.005262297391891479,dois
meses,0.005261285305023193,trinta
meses,0.005207111835479736,durante
meses,0.0052064633369445805,mes
meses,0.005082691311836243,séculos
meses,0.005066809058189392,horas
meses,0.005049064159393311,atrás
meses,0.00500292181968689,décadas
meses,0.004962389767169953,seguidos
meses,0.00490707129240036,semana
meses,0.004902683198451996,tempos
meses,0.004859625697135926,minutos
meses,0.004841618239879608,antes
meses,0.004770056903362275,quarenta
meses,0.004709620475769043,dezoito
meses,0.0046932616829872134,nestes
meses,0.004658013582229614,nesses
meses,0.004637898206710816,poucos
meses,0.004574673771858216,largos
meses,0.004537435472011566,onze
meses,0.004509925246238709,uns
meses,0.004508524537086487,desde
frequenta,0.010,frequenta
domicílio,0.01,domicílio
domicílio,0.0061596459150314335,residência
domicílio,0.005828299522399902,domicílios
domicílio,0.005735284090042115,domiciliar
domicílio,0.004966327548027039,residente
domicílio,0.004728384912014007,lar
domicílio,0.004638891220092774,residencial
domicílio,0.0046230009198188786,território
família,0.01,família
família,0.007547932267189026,familia
família,0.006395314931869507,Família
família,0.00625643253326416,familiares
família,0.006251334547996521,familiar
família,0.006197255849838257,mãe
família,0.005949959754943848,famílias
família,0.005772991180419922,casa
família,0.005753399133682251,filha
família,0.005536867380142212,esposa
família,0.005487134456634521,comunidade
família,0.005476662516593934,parentes
família,0.005422641038894654,irmã
família,0.005388590097427369,filhos
família,0.005378243923187256,amigos
família,0.005370277166366577,avó
família,0.005336661338806153,pais
família,0.005232412219047546,irmãos
família,0.005165852308273315,infância
família,0.005162861943244934,vizinhança
família,0.005043710470199585,criança
família,0.005020872354507446,residência
família,0.004986153841018677,vida
família,0.004984654188156128,sociedade
família,0.004973390400409699,escola
família,0.0049693724513053894,sobrinha
família,0.004939895272254944,filho
família,0.004914338886737824,sogra
família,0.004894267022609711,avós
família,0.004871456027030945,casal
família,0.004857622981071472,herança
família,0.004848947823047638,mansão
família,0.004817959070205689,tia
família,0.0048004439473152164,companhia
